animal_id,tissue,stim,conc_µg_ml,ifng_pg_ml,dose_µg,stim_id,adjusted_ifng,log_adj_ifng
b|6,ln,CMP2,10.0,1716.93620977,2,CMP2|10.0,1687.3699966207,3.2272103225844417
b|6,ln,CMP1,0.1,77.9861196893,2,CMP1|0.1,48.41990654,1.6850239468322434
b|6,ln,CMP1,1.0,118.9312469,2,CMP1|1.0,89.36503375070001,1.9511676237219326
b|6,ln,CMP1,10.0,313.242791862,2,CMP1|10.0,283.6765787127,2.452823480470762
b|7,ln,CMP1,10.0,2849.35292489,2,CMP1|10.0,2821.3880264448,3.45046281892925
b|1,ln,CMP1,0.1,438.767729198,2,CMP1|0.1,426.4601243916,2.629878429251953
b|3,ln,CMP1,0.1,2472.3190476500004,2,CMP1|0.1,2429.6823144520004,3.385549492487225
b|3,ln,CMP2,10.0,139476.39795800002,2,CMP2|10.0,139433.761224802,5.144367942617018
b|3,ln,CMP2,1.0,75142.5111084,2,CMP2|1.0,75099.874375202,4.875639210530105
b|3,ln,CMP2,0.1,12993.2042729,2,CMP2|0.1,12950.567539702,4.112288801155492
b|4,ln,CMP2,1.0,9042.88639977,2,CMP2|1.0,8968.629676589999,3.9527260919451206
b|4,ln,CMP1,10.0,5164.90341299,2,CMP1|10.0,5090.64668981,3.706772956398863
b|4,ln,CMP1,1.0,2108.64814527,2,CMP1|1.0,2034.3914220899999,3.3084345159904833
b|4,ln,CMP1,0.1,1227.72053864,2,CMP1|0.1,1153.46381546,3.0620039751097883
b|4,ln,CMP2,10.0,21982.8501282,2,CMP2|10.0,21908.59340502,4.340614495495544
b|3,ln,CMP1,10.0,9998.87870381,2,CMP1|10.0,9956.241970612,3.998095442900857
b|4,ln,CMP2,0.1,3201.7480990000004,2,CMP2|0.1,3127.4913758200005,3.49519612078306
b|3,ln,CMP1,1.0,7908.92619669,2,CMP1|1.0,7866.289463492,3.8957699235235475
b|2,ln,CMP1,0.1,191.693014175,2,CMP1|0.1,164.611607541,2.2164604561087238
b|2,ln,CMP2,0.1,4523.52783491,2,CMP2|0.1,4496.446428276,3.652869423493342
b|2,ln,CMP2,1.0,9167.75473044,2,CMP2|1.0,9140.673323805999,3.9609781880798933
b|2,ln,CMP2,10.0,21726.0473867,2,CMP2|10.0,21698.965980066,4.336439038924516
b|2,ln,CMP1,1.0,719.168124915,2,CMP1|1.0,692.086718281,2.840160514848877
b|2,ln,CMP1,10.0,1343.36502258,2,CMP1|10.0,1316.283615946,3.1193494755769646
b|1,ln,CMP2,0.1,1017.219966721,2,CMP2|0.1,1004.9123619146,3.0021281887251865
