group;animal_id;tissue;stim;conc_µg_ml;ifng_pg_ml
d;7;ln;PC;na;3525.66739356
d;7;ln;CMP2;0.1;125.718397292
d;7;ln;CMP2;1.0;737.233238574
d;7;ln;CMP2;10.0;1178.02091993
d;7;ln;CMP1;0.1;152.72377128300002
d;8;ln;medium;0.0;21.9576531558
e;1;sp;CMP2;10.0;3272.50684639
e;1;sp;medium;0.0;52.0356362251
e;1;sp;CMP1;10.0;1134.35047935
e;1;sp;CMP1;1.0;873.4621194560001
e;1;sp;CMP1;0.1;105.755385548
e;2;sp;CMP2;0.1;557.7273987420001
e;2;sp;CMP1;1.0;925.613220257
e;1;sp;PC;na;3029.0745112
e;2;sp;medium;0.0;36.698747972
e;2;sp;CMP1;10.0;3083.04045068
e;2;sp;CMP2;10.0;8480.05188549
e;2;sp;CMP1;0.1;124.894504721
e;9;ln;CMP2;0.1;291.261744687
e;1;sp;CMP2;1.0;928.178123579
e;2;sp;CMP2;1.0;2990.21571871
e;3;sp;CMP1;0.1;371.110405023
e;4;sp;PC;na;8526.10189181
e;1;sp;CMP2;0.1;132.83137294000002
e;3;sp;CMP1;10.0;2011.93626128
e;3;sp;CMP1;1.0;1333.33546453
e;3;sp;CMP2;10.0;7767.35770558
e;3;sp;CMP2;1.0;3377.88661916
e;3;sp;CMP2;0.1;1135.30184606
e;3;sp;medium;0.0;38.2191953058
e;3;sp;PC;na;6539.705866910001
e;4;sp;CMP1;10.0;4019.89020678
e;4;sp;CMP1;1.0;2196.22600471
e;4;sp;CMP1;0.1;838.7976997640001
e;4;sp;CMP2;10.0;23943.9812831
e;4;sp;CMP2;1.0;6178.9858640600005
e;4;sp;CMP2;0.1;1868.90259208
e;4;sp;medium;0.0;106.662561962
e;2;sp;PC;na;4905.640587559999
e;5;sp;medium;0.0;68.366490402
e;6;sp;CMP2;0.1;344.400777198
e;5;sp;CMP1;1.0;1605.93232079
e;5;sp;CMP2;10.0;23345.3776663
e;5;sp;CMP2;1.0;5161.48068488
e;5;sp;CMP2;0.1;1317.38705577
e;6;sp;medium;0.0;43.2399973176
e;6;sp;CMP1;10.0;570.8997275030001
e;6;sp;CMP1;1.0;551.371473609
e;5;sp;CMP1;0.1;937.312127941
e;6;sp;CMP1;0.1;371.618291637
e;6;sp;CMP2;1.0;1059.3500899900002
e;9;sp;CMP2;1.0;1725.2335169100002
e;6;sp;PC;na;660.9141920229999
e;7;sp;medium;0.0;46.4987766814
e;7;sp;CMP1;10.0;1806.4772626
e;7;sp;CMP1;1.0;1474.57532693
e;6;sp;CMP2;10.0;1752.8471196
e;7;sp;CMP1;0.1;303.321932596
e;7;sp;CMP2;10.0;6549.97466512
e;7;sp;CMP2;1.0;2285.37174869
e;7;sp;PC;na;1540.63232105
e;8;sp;medium;0.0;23.1531648549
e;8;sp;CMP1;10.0;666.307818026
